makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat,natrium_makan_pagi,natrium_makan_siang,natrium_makan_malam,natrium_snack_1,natrium_snack_2
soto ayam,tumis bayam,sup kentang,puding coklat,es doger,1166,1,87,408,418,129,124
tumis kangkung,beef burger,tumis ikan tongkol,mentimun serut,martabak telur,1116.1,1,384,572,19,6.1,135
semur jengkol,ikan salmon panggang,kalio kikil,klepon,tape singkong,1132,1,60,467,519,79,7
usus ayam goreng,bakmi,rendang,jus wortel tomat,martabak telur,1078,1,411,329,184,19,135
soto ayam,ikan belanak goreng,lobstre panggang,sup buah serut,serabi,1067.3,1,87,220,630,33.3,97
soto daging,kerang panggang,terong balado,pisang panggang saus kurma,bubur sumsum,1006.5,1,152,527,262,10.5,55
pepes ikan mas,tuna bumbu kari,gulai daging sapi,jus mangga,seblak,1085,1,191,400,225,2,267
gulai pakis,ayam saus mentega,sayur siram bumbu tumis,mangga,kue cucur,1043.1,1,352,560,14.1,2,115
dendeng sapi,beef teriyaki,saboko gurita,rambutan,duku,1031,1,443,377,200,10,1
sayur asem,babat sapi,ayam kecap,pepaya,tape singkong,1014,1,308,68,628,3,7
ayam rica-rica,chicken katsu,tempe kukus cabe hijau,pir,kue nagasari,1056.5,1,238,680,7.5,1,130
nasi kebuli,bakmi,ayam taliwang,pir,onde-onde,1008,1,166,329,432,1,80
laksa palembang,sup ayam,semur telur,sari seledri campur,jus alpukat,1153,1,240,459,417,19,18
rawon,abon ayam,tuna sambal woku,es teler,markisa,1154,1,171,410,390,155,28
nasi kebuli,ayam betutu,sop kambing,stroberi,kue sus,1141,1,166,251,384,1,339
soto kudus,udang goreng,urab,nanas,bolu kukus,1114,1,171,707,12,1,223
gulai tunjang,sate kambing,lodeh terong,jus mentimun jambu,tahu isi,1043.5,1,215,359,197,2.5,270
urap,bebek bakar,sop buntut,nanas,martabak manis,1173,1,251,193,478,1,250
ayam goreng,tuna bumbu kari,sandwich ikan tuna panggang,salad buah,bakwan,1072.2,1,350,400,153.2,5,164
perkedel kentang,bakso ikan,sop kaki sapi,nanas,bolu kukus,1118,1,204,255,435,1,223
urap megono,kari ayam,kalio kikil,es kelapa muda,es krim,1199,1,28,624,519,8,20
nasi goreng ayam,tuna bumbu kari,gulai kambing,lemang manis isi pisang,tahu gejrot,1035.6,1,302,400,163,3.6,167
soto banjar,tempe penyet,oseng buncis tempe,es kelapa muda,onde-onde,1183,1,82,241,772,8,80
tempe goreng,ikan panggang siram acar,teri balado,susu murni,kue sus,1106.7,1,277,28.7,422,40,339
telur ceplok air acar kuning,ikan tuna panggang,gulai daging sapi,dadar gulung,kacang mete sangrai asin,1046.5,1,80.5,366,225,67,308
urap,ikan patin bakar,ikan panggang,apel,kue nagasari,1110,1,251,372,356,1,130
nasi goreng udang,ikan kuah kuning,teri kacang balado,pisang panggang saus kurma,semangka,1046.5,1,467,162,406,10.5,1
ikan kembung balado,karedok,lobstre panggang,klepon,bubur sumsum,1168,1,277,127,630,79,55
nasi uduk,tumis oncom,kalio kikil,lemang manis isi pisang,kue nastar,1104.6,1,198,262,519,3.6,122
tumis kol,ayam rendang,lobstre panggang,jus belimbing berembun,sale pisang,1082.6,1,114,274,630,3.6,61
sayur bening bayam,sate padang,kalio telur,mentimun serut,bluberi,1056.1,1,162,347,540,6.1,1
urap,kari daging sapi,ampela goreng,sari seledri timun,bakpia,1198,1,251,551,255,23,118
laksa palembang,abon ayam,ikan panggang,cimol,sari apel,1199,1,240,410,356,190,3
