nama_makanan,kategori,natrium_(mg)
Nasi goreng ayam,makan_pagi,302
Nasi goreng ,makan_pagi,415
Nasi goreng udang,makan_pagi,467
Nasi goreng spesial,makan_pagi,703
Bubur nasi,makan_pagi,126
Bubur ayam,makan_pagi,244
Bubur ketan hitam,makan_pagi,77
Nasi uduk,makan_pagi,198
Nasi liwet,makan_pagi,228
Nasi kuning,makan_pagi,869
Nasi kebuli,makan_pagi,166
Nasi pecel,makan_pagi,8
Soto ayam,makan_pagi,87
Soto daging ,makan_pagi,152
Soto betawi ,makan_pagi,194
Soto kudus,makan_pagi,171
Soto banjar,makan_pagi,82
Soto bandung,makan_pagi,132
Kupat tahu,makan_pagi,244
Tahu balado,makan_pagi,266
Dendeng sapi,makan_pagi,443
Rawon,makan_pagi,171
Coto makasar,makan_pagi,271
Lontong sayur,makan_pagi,64
Urap,makan_pagi,251
Ikan kembung balado,makan_pagi,277
Sayur pakis,makan_pagi,1
Ikan tongkol goreng,makan_pagi,244
Pindang patin,makan_pagi,90
Ayam goreng,makan_pagi,350
Urap megono,makan_pagi,28
Tumis kangkung,makan_pagi,384
Tumis pakcoy,makan_pagi,220
Tumis daun pepaya,makan_pagi,213
Ketoprak ,makan_pagi,391
Gulai tunjang,makan_pagi,215
Gulai pakis,makan_pagi,352
Kacang panjang bumbu kuning,makan_pagi,9.5
Nasi bakar,makan_pagi,169
Pepes ikan mas,makan_pagi,191
Ikan mas goreng,makan_pagi,88
Gado-gado,makan_pagi,126
Sayur bening bayam,makan_pagi,162
Ayam suwir,makan_pagi,62
Ayam suwir kemangi,makan_pagi,274
Ayam rica-rica,makan_pagi,238
Tempe panggang,makan_pagi,31
Tempe goreng,makan_pagi,277
Kering tempe,makan_pagi,221
Teri basah goreng renyah,makan_pagi,40
Perkedel kentang,makan_pagi,204
Nasi ciprat,makan_pagi,10.2
Paha ayam panggang,makan_pagi,406
Pecel sayur,makan_pagi,346
Tumis buncis,makan_pagi,263
Pepes tongkol,makan_pagi,112
Telur ceplok air acar kuning,makan_pagi,80.5
Tumis labu siam,makan_pagi,145
Tuna bakar bumbu bali,makan_pagi,19.2
Tempe bacem,makan_pagi,68
Sayur umbut kelapa,makan_pagi,317
Sayur asem,makan_pagi,308
Laksa palembang,makan_pagi,240
Ketoprak ,makan_pagi,391
Telur dadar,makan_pagi,98
Telur balado,makan_pagi,356
Telur ceplok,makan_pagi,94
Tumis pare,makan_pagi,125
Tumis kacang panjang tempe,makan_pagi,295
Tumis genjer,makan_pagi,218
Semur tahu,makan_pagi,569
Pepes tahu,makan_pagi,269
Semur jengkol,makan_pagi,60
Semur ayam,makan_pagi,536
Kwetiau udang sambal rujak,makan_pagi,91.3
Chicken karage,makan_pagi,900
Tumis sawi putih,makan_pagi,211
Tumis kol,makan_pagi,114
Tempe masak wijen,makan_pagi,4.2
Ikan bawal goreng,makan_pagi,85
Pepes ayam,makan_pagi,149
Nasi goreng tuna,makan_pagi,41.7
Belut goreng,makan_pagi,283
Udang panggang,makan_pagi,512
Telur rebus,makan_pagi,139
Chicken nugget,makan_pagi,574
Kwetiau goreng,makan_pagi,500
Usus ayam goreng,makan_pagi,411
