Id_kombinasi,Makan_pagi,Makan_siang,Makan_malam,Snack_1,Snack_2,Total_natrium
1,Kering tempe,Tumis buncis wortel bintik,Tuna sambal woku,Susu,Buah delima ,681.0
2,Rawon,Mie ayam,Bubur manado,Sari buah tropika,Buah delima ,701.0
3,Coto makasar,Tumis buncis wortel bintik,Makaroni bumbu merah,Sup buah serut,Kue sus,687.3
4,Nasi pecel,Sate kambing,Sambal udang,Jus wortel tomat,Semangka,460.0
5,Teri basah goreng renyah,Bakmi,Urab,Apel,Kue nagasari,512.0
6,Tumis pakcoy,Udang goreng ,Gulai daging sapi,Jus mangga,Jus jeruk,1155.0
7,Nasi kuning,Kari daging sapi,Gulai ayam,Jeruk,Cenil,1659.0
8,Tumis labu siam,Ayam cincang buncis,Tempe pesmol,Mentimun serut,Sukun goreng,397.6
9,Nasi liwet,Bakmi,Sate bandeng,Cilok,Yogurt,1341.0
10,Ketoprak ,Ayam betutu,Pepes tongkol sambal dabu-dabu,Jus wortel tomat,Bluberi,688.8
11,Tumis buncis,Abon sapi,Gulai ayam,Jus mangga,Pie susu,1452.0
12,Telur ceplok,Tuna bumbu kari,Gadon tahu jamur,Kue bugis isi kacang hijau,Sup kacang,883.9
13,Udang panggang,Sup ayam,Sop kambing,Es teler,Kue cucur,1625.0
14,Pepes tongkol,Sate ayam,Sambal udang,Cimol,Risol bihun ,933.0
15,Ayam suwir kemangi,Tumis bayam,Bihun goreng,Jus pepaya kayu manis,Kue sus,1118.8
16,Gulai pakis,Ayam goreng ,Brengkes patin,Rambutan,Pempek kapal selam,976.0
17,Ayam suwir,Ayam saus mentega,Tumis ikan tongkol,Salak,Duku,644.0
18,Tumis labu siam,Telur puyuh bumbu kuning,Ikan bakar bumbu kecap,Salak,Kacang mete sangrai asin,627.6
19,Laksa palembang,Bakso ayam,Gadon tahu jamur,Jus belimbing berembun,Mangga kweni,706.5
20,Lontong sayur,Bakso ayam,Ikan baung bakar,Salad buah,Kue cucur,794.0
21,Tumis pakcoy,Onigiri,Tahu siksa,Jus Buah naga,Jus jeruk,378.8
22,Sayur pakis,Sayur bunga pepaya,Gulai ikan ,Talam ubi,Jus jeruk,270.3
23,Telur ceplok air acar kuning,Bakso aci,Lumpia basah,Kurma,Kacang mete sangrai asin,644.6
24,Udang panggang,Steak daging sapi,Gulai daging sapi,Jus belimbing berembun,Tahu walik,1261.6
25,Tumis pakcoy,Bebek bakar,Urab,Pisang ,Lemper,611.0
26,Gulai pakis,Terong bakar,Sop kambing,Es kelapa muda,Onde-onde,826.0
27,Dendeng sapi,Rendang,Tahu bumbu merah,Sari buah tropika,Kue pukis,735.3
28,Kwetiau udang sambal rujak,Cap cay sayur,Terong goreng,Mangga,Sale pisang,621.3
29,Sayur asem,Telur puyuh bumbu kuning,Daging sapi panggang,Es teler,Tahu isi,1023.1
30,Tumis genjer,Ayam penyet,Ikan panggang,Jus belimbing berembun,Pempek kapal selam,1086.6
31,Telur ceplok air acar kuning,Tahu bacem,Kari daging domba,Rujak buah,Kue pukis,525.5
32,Kwetiau goreng,Tumis bayam,Gulai kambing,Kelengkeng,Susu kedelai,1126.0
33,Sayur bening bayam,Sup telur,Bihun goreng,Kue bugis isi kacang hijau,Kue nastar,739.5
34,Teri basah goreng renyah,Tumis buncis wortel bintik,Sayur bobor,Es kuwut,Kue nagasari,330.0
35,Dendeng sapi,Beef teriyaki,Saboko gurita,Rambutan,Duku,1031.0
36,Ketoprak ,Mie bakso,Ikan gabus asap,Kue bugis isi kacang hijau,Martabak telur,1047.0
37,Tahu balado,Abon sapi,Udang goreng tepung,Mentimun serut,Risol bihun ,1772.1
38,Chicken nugget,Mie bakso,Tahu bumbu kukus,Sari seledri campur,Es doger,929.9
39,Gado-gado,Ikan salmon panggang,Ampela goreng ,Pisang bakar saus manis,Martabak manis,1109.5
40,Pepes ikan mas,Ikan tongkol balado,Kerang asap,Puding coklat,Semangka,833.0
41,Tumis kacang panjang tempe,Sambal goreng kentang,Ampela goreng ,Jus apel,Takoyaki,934.0
42,Soto daging ,Kari daging sapi,Kerang asap,Kurma,Kue kacang,1004.0
43,Belut goreng,Tekwan,Ikan cakalang asap,Jeruk,Kacang mete sangrai asin,955.0
