makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat
Ikan tongkol goreng,Mie ayam,Bubur manado,Cilok,Markisa,1014.0,1
Belut goreng,Sup nasi ayam,Ikan bakar bumbu kecap,Kue apem,Risol bihun ,1024.5,1
Pepes tahu,Beef burger,Tempe pesmol,Putu mayang,Tahu sumedang,1099.5,1
Telur ceplok,Spageti,Ayam kecap ,Pisang ,Kue kacang,1094.0,1
Tumis daun pepaya,Ikan tuna sambal goreng,Opor ayam,Talam ubi,Bolu kukus,1024.3,1
Tumis kacang panjang tempe,Bakso ayam,Ampela goreng ,Cimol,Semangka,1183.0,1
Rawon,Ayam masak merah,Sop buntut,Jus wortel tomat,serabi,1047.0,1
Ikan tongkol goreng,Tempe orek,Semur telur,Jambu biji ,Tahu isi,1142.0,1
Semur tahu,Tempe orek,Tuna bumbu rica-rica,Jus wortel tomat,Bluberi,1198.0,1
Semur ayam,Garang asem ayam,Lodeh terong,Rujak pepaya alpukat,Susu kedelai,1014.8,1
Tumis pakcoy,Tuna bumbu pepes,Saboko gurita,Cimol,Tahu isi,1160.0,1
Semur tahu,Bakso sapi,Pecel ,Kelengkeng,Lemper,1067.0,1
Tumis kacang panjang tempe,Ayam rendang,Sop buntut,Es kuwut,Es buah,1143.0,1
Pecel sayur,Beef teriyaki,Teri kacang balado,Sari buah tropika,Apel fuji,1136.0,1
Nasi uduk,Ayam saus mentega,Daging sapi panggang,Dadar gulung,Kue kacang,1181.0,1
Tempe goreng,Ikan patin goreng,Lobstre panggang,Kelengkeng,Kue pancong,1020.0,1
Kering tempe,Dendeng sapi,Paru sapi goreng,Salak,Nangka,1025.0,1
Nasi ciprat,Tekwan,Tahu telur,Batagor,Cenil,1112.2,1
Nasi goreng tuna,Sup ayam,Kerang asap,Kue bugis,Dimsum,1156.7,1
Nasi liwet,Sate kambing,Ikan belida bakar,Es teler,Bakwan,1199.0,1
Tahu balado,Ayam penyet,Ikan gurame asam manis,Es kuwut,Es buah,1159.0,1
Ayam suwir kemangi,Tempe penyet,Sop kambing,Pisang panggang saus kurma,Kue nagasari,1039.5,1
Dendeng sapi,Ayam rendang,Ayam geprek,Pepaya,Sari apel,1183.0,1
Nasi uduk,Tumis oncom,Sop buntut,Sari buah tropika,Kue pukis,1041.0,1
Bubur ketan hitam,Terong bakar,Oseng buncis tempe,Kurma,Cireng isi ayam,1115.0,1
Telur rebus,Cap cay sayur,Telur asin,Apel,Ronde,1034.0,1
Telur balado,Ceker mercon,Tempe mendoan,Jus pepaya belimbing,Risol bihun ,1101.1,1
Gulai pakis,Tumis bayam,Sayur bobor,Cimol,Es buah,1032.0,1
Tumis kangkung,Bakmi,Teri kacang balado,Salak,Bubur sumsum,1176.0,1
Sayur pakis,Kari ayam ,Kari daging domba,Klepon,Tahu gejrot,1081.0,1
Sayur asem,Bakso ikan,Tuna bumbu rica-rica,Putu mayang,Semangka,1023.0,1
Tumis genjer,Ayam panggang,Perkedel tahu,Jus jambu,Es doger,1138.0,1
Sayur umbut kelapa,Pempek adaan,Spageti udang,Sup buah tropika,Pempek kapal selam,1152.4,1
Tempe goreng,Kari ayam ,Ikan bakar bumbu kecap,Salad buah,Puding vanila,1140.5,1
Tempe panggang,Cumi hitam,Sup bola ayam,Pepaya,Martabak telur,1178.0,1
Nasi pecel,Sate kambing,Kari daging domba,Salak,Dimsum,1014.0,1
Nasi goreng ,Sambal teri,Teri balado,Jus nanas,Sale pisang,1050.0,1
Telur rebus,Ayam lada hitam,Sate bandeng,Salad buah,Bolu kukus,1130.0,1
Pepes ikan mas,Spageti,Ayam kecap ,Kue tapioka,Tape singkong,1062.6,1
Nasi goreng spesial,Mie bakso,Sambal udang,Cilok,Nangka,1193.0,1
Tumis kangkung,Mie bakso,Saboko gurita,Batagor,Tahu gejrot,1096.0,1
Coto makasar,Kari ayam ,Ayam kalasan,Rujak pepaya alpukat,Martabak telur,1072.1999999999998,1
Kwetiau goreng,Ikan panggang siram acar,Telur asin,Jus Buah naga,Cempedak,1024.7,1
Teri basah goreng renyah,Pempek adaan,Sate bandeng,Salad buah,Tape singkong,1082.0,1
Tumis pare,Ikan patin bakar,Paru sapi goreng,Jus mangga,Takoyaki,1122.0,1
Tumis buncis,Bakso sapi,Sate bandeng,Es kelapa muda,Buah delima ,1107.0,1
Tempe bacem,Ayam penyet,Daging sapi panggang,Kue bugis,Dimsum,1069.0,1
Gado-gado,Kari ayam ,Hati ayam goreng,Apel,Pempek kapal selam,1064.0,1
Nasi bakar,Ayam penyet,Sup bola ayam,Puding coklat,Nangka,1127.0,1
Semur ayam,Tumis buncis wortel bintik,Teri balado,Es teler,Es buah,1161.0,1
Semur ayam,Sate ayam,Mie hokian,Cimol,Pisang,1159.8,1
Pepes tahu,Ikan patin bakar,Daging sapi panggang,Jus belimbing berembun,Tahu isi,1131.6,1
Ketoprak ,Ayam bakar,Tumis bandeng,Sari buah tropika,Jus alpukat ,1138.0,1
Udang panggang,Kepiting panggang,Brengkes patin,Mangga,Yogurt,1116.0,1
Semur ayam,Sate taichan,Tumis tahu kentang seledri,Jus Buah naga,Mangga kweni,1061.0,1
Soto daging ,Cumi hitam,Ikan gurame asam manis,Lemang manis isi pisang,Kue pancong,1187.6,1
Tumis pare,Ayam lada hitam,Sop kaki sapi,Kue bolu,Wajik ,1148.0,1
Pindang patin,Kari ayam ,Telur asin,Kurma,Duku,1200.0,1
Soto bandung,Bakso ikan,Gulai ayam,Jus mangga,Dimsum,1031.0,1
Nasi liwet,Kerang panggang,Ikan gabus asap,Jus belimbing berembun,Bubur sumsum,1133.6,1
Tahu balado,Sup telur,Rendang,Kue bolu,Tahu gejrot,1200.0,1
Tumis pare,Ayam cincang buncis,Kalio kikil,Getuk kacang hijau,Kue nagasari,1034.0,1
Lontong sayur,Ayam rendang,Kalio ayam,Jus mentimun jambu,Kue kacang,1013.5,1
Gulai pakis,Tekwan,Kerang asap,Rujak jeruk bali,Kacang mete sangrai asin,1014.7,1
Ayam rica-rica,Cap cay sayur,Lodeh terong,Pir,Lemper,1026.0,1
Pepes tongkol,Abon sapi,Rendang,Pisang panggang saus kurma,Sari apel,1119.5,1
Lontong sayur,Sate padang,Ikan gurame asam manis,Salak,Onde-onde,1002.0,1
Bubur nasi,Kari ayam ,Ikan bakar bumbu kecap,Cilok,Pisang,1071.5,1
Ayam goreng,Bakso sapi,Ikan gurame asam manis,Jus pepaya kayu manis,Jus wortel ,1183.3,1
Tumis pakcoy,Sup nasi ayam,Sate bandeng,Pir,Ronde,1109.0,1
Bubur ketan hitam,Oseng tahu,Kalio ayam,Pir,Tahu gejrot,1184.0,1
Tempe goreng,Steak daging sapi,Tuna bumbu rica-rica,Mentimun serut,Ronde,1062.1,1
Nasi goreng udang,Tempe orek,Tumis bandeng,Rujak pepaya alpukat,Semangka,1004.8,1
Paha ayam panggang,Bihun goreng,Sop kambing,Jus pepaya kayu manis,Duku,1118.3,1
Udang panggang,Ayam goreng ,Ayam panggang bumbu bacem,Stroberi,Takoyaki,1156.7,1
Tumis daun pepaya,Abon sapi,Makaroni bumbu merah,Klepon,Susu kedelai,1175.0,1
Telur rebus,Bakso sapi,Ayam kecap ,Talam nangka,Martabak telur,1196.3,1
Ayam rica-rica,Tekwan,Perkedel tahu,Rujak buah,Bakwan,1046.0,1
Pepes tongkol,Karedok,Oseng buncis tempe,Pisang bakar saus manis,Kue beras,1031.5,1
Nasi uduk,Sup ayam,Opor ayam,Jus melon,Pastel ,1052.0,1
Telur dadar,Tumis oncom,Ayam kecap ,Pir,Pastel ,1149.0,1
Telur orak-arik,Kari daging sapi,Ikan gabus asap,Kelengkeng,Sosis solo,1163.0,1
Ikan kembung balado,Iga bakar,Sop kambing,Talam nangka,Kue pukis,1034.3,1
Bubur nasi,Ayam saus mentega,Ikan gabus asap,Pir,Pempek ,1064.0,1
Usus ayam goreng,Tumis oncom,Ikan bandeng goreng,Klepon,Pie susu,1137.0,1
Gulai pakis,Kepiting panggang,Brengkes patin,Es teler,Sosis solo,1170.0,1
Ketoprak ,Beef teriyaki,Tahu bumbu merah,Jus pepaya belimbing,Takoyaki,1047.4,1
Semur tahu,Sayur bunga pepaya,Sambal udang,Jus mentimun jambu,Kue sus,1073.5,1
Ketoprak ,Sate padang,Urab,Sari buah tropika,Tahu isi,1026.0,1
Nasi goreng ,Nasi hijau harum,Sop buntut,Anggur ,Cenil,1003.0,1
Soto ayam,Sup nasi ayam,Sate bandeng,Rambutan,Kue pancong,1031.0,1
Kwetiau goreng,Tempe orek,Ikan bandeng goreng,Buah naga,Lemper,1111.0,1
Tumis pakcoy,Pempek adaan,Sop kambing,Rujak buah,Sawo,1172.0,1
Pepes tahu,Cap cay sayur,Jengkol balado,Jus pepaya kayu manis,Wajik ,1044.3,1
Semur tahu,Ikan belanak goreng,Opor ayam,Pisang bakar saus manis,Es krim,1039.5,1
Tumis kangkung,Abon ayam,Pepes tongkol sambal dabu-dabu,Sari buah tropika,Risol bihun ,1029.8,1
Belut goreng,Ayam cincang buncis,Ikan belida bakar,Sari seledri campur,Bolu pisang,1100.0,1
Kwetiau goreng,Oseng tahu,Terong goreng,Manggis,Pie susu,1144.0,1
Dendeng sapi,Ayam goreng ,Lodeh terong,Putu mayang,Sosis solo,1130.0,1
Pepes tahu,Sate usus,Lodeh terong,Mangga,Markisa,1001.0,1
Tumis kacang panjang tempe,Ikan patin bakar,Tuna sambal woku,Jambu biji ,Tape singkong,1066.0,1
Usus ayam goreng,Ikan patin bakar,Orak arik bening soun,Jus Buah naga,Martabak telur,1014.5,1
Urap megono,Ayam teriyaki,Tumis kapri manis,Anggur ,Pisang,1085.5,1
Tumis genjer,Gudeg,Pempek kulit,Buah naga,Kue pukis,1021.0,1
Telur orak-arik,Ikan panggang siram acar,Tahu telur,Susu,Es buah,1036.7,1
Semur ayam,Kepiting panggang,Tempe kukus cabe hijau,Es kelapa muda,Cempedak,1096.5,1
Pepes tongkol,Ikan kuah kuning,Lobstre panggang,Dadar gulung,Jus wortel ,1000.0,1
Semur jengkol,Kerang panggang,Semur daging,Jus apel,Kue nastar,1082.0,1
Bubur ayam,Sate taichan,Saboko gurita,Es kuwut,Bakwan,1192.0,1
Nasi goreng spesial,Ayam masak merah,Saboko gurita,Jus mentimun jambu,Kue beras,1196.5,1
Kacang panjang bumbu kuning,Bakso ayam,Pempek kulit,Kue bugis,Cempedak,1075.5,1
Nasi bakar,Ikan salmon panggang,Paru sapi goreng,Lemang manis isi pisang,Pempek ,1052.6,1
Soto banjar,Kepiting panggang,Bandeng presto,Talam ubi,Pempek kapal selam,1121.3,1
Sayur umbut kelapa,Cumi goreng,Daging sapi panggang,Rambutan,Pie susu,1049.0,1
Nasi ciprat,Sayur tahu toge,Lobstre panggang,Jus Buah naga,Tahu sumedang,1099.2,1
Soto banjar,Ikan tuna sambal goreng,Perkedel tahu,Jus stroberi,Martabak manis,1082.0,1
Sayur bening bayam,Asem-asem kangkung,Oseng buncis tempe,Dadar gulung,Puding vanila,1168.0,1
Tuna bakar bumbu bali,Sup telur,Lobstre panggang,Jus belimbing berembun,Wajik ,1147.8000000000002,1
Gulai tunjang,Ayam panggang,Ikan panggang,Jus Buah naga,Kue nagasari,1113.0,1
Telur ceplok,Nasi hijau harum,Lobstre panggang,Jus wortel tomat,Seblak,1088.0,1
Kwetiau goreng,Pempek adaan,Pepes teri,Puding coklat,Semangka,1184.0,1
Telur rebus,Beef burger,Pecel ,Nanas,Dimsum,1170.0,1
Sayur bening bayam,Cap cay sayur,Sate bandeng,Apel,Kue pancong,1163.0,1
Tumis pare,Ikan tuna panggang,Ikan panggang,Rambutan,Pempek kapal selam,1078.0,1
Belut goreng,Ikan patin bakar,Sup kentang,Rujak jeruk bali,Yogurt,1101.7,1
Telur dadar,Kari daging sapi,Semur telur,Salak,Markisa,1096.0,1
Soto bandung,Abon ayam,Ikan baung bakar,Jus belimbing berembun,Kacang mete sangrai asin,1021.6,1
Ayam suwir kemangi,Tuna bumbu pepes,Sate bandeng,Jus stroberi,Markisa,1126.0,1
Bubur kacang hijau,Ayam saus mentega,Teri kacang balado,Nanas,Kue pukis,1110.0,1
Nasi goreng ayam,Tuna bumbu kari,Ikan gabus asap,Pepaya,Sawo,1037.0,1
Pepes tongkol,Ikan tongkol balado,Ayam geprek,Putu mayang,Pastel ,1143.0,1
Tahu balado,Tekwan,Lobstre panggang,Putu mayang,Nangka,1144.0,1
Telur rebus,Tumis bayam,Kari daging domba,Buah naga,Dimsum,1194.0,1
Sayur asem,Bubur sapi,Semur daging,Sari seledri campur,Tahu walik,1165.0,1
Tumis buncis,Tuna bumbu kari,Sop kaki sapi,Kelengkeng,Es krim,1118.0,1
Soto ayam,Ceker mercon,Sop kaki sapi,Sari buah tropika,Pempek kapal selam,1051.0,1
Tumis daun pepaya,Iga bakar,Ikan gurame asam manis,Pepaya,Risol bihun ,1200.0,1
Bubur kacang hijau,Ikan lele panggang,Kalio ayam,Pisang bakar saus manis,Markisa,1004.5,1
Semur tahu,Garang asem ayam,Sayur bobor,Buah naga,Martabak manis,1094.0,1
Gulai pakis,Tempe penyet,Opor ayam,Es kuwut,Pempek kapal selam,1107.0,1
Kacang panjang bumbu kuning,Ayam saus mentega,Lodeh terong,Puding coklat,Kue nagasari,1025.5,1
Tumis buncis,Bihun goreng,Bubur manado,Jus mentimun jambu,Risol bihun ,1032.5,1
Ayam suwir,Bebek bakar,Lobstre panggang,Jus mentimun jambu,Bolu kukus,1110.5,1
Urap,Bakso sapi,Teri kacang balado,Jus belimbing berembun,Kue bawang,1017.6,1
Chicken karage,Nasi rames,Tahu siksa,Anggur ,Mangga kweni,1179.8,1
Nasi liwet,Tumis bayam,Semur telur,Kurma,Sale pisang,1116.0,1
Telur rebus,Abon sapi,Tempe kukus cabe hijau,Rujak pepaya alpukat,Tahu gejrot,1137.3,1
